"Price","Rooms","Regionname","Propertycount","Distance"
2100000,3,"Southern Metropolitan",3280,3.3
2e+06,3,"Southern Metropolitan",3280,3.3
442500,1,"Southern Metropolitan",3280,3.3
4735000,4,"Southern Metropolitan",3280,3.3
1340000,2,"Southern Metropolitan",3280,3.3
1801000,3,"Southern Metropolitan",3280,3.3
1532000,3,"Southern Metropolitan",3280,3.3
3755000,3,"Southern Metropolitan",3280,3.3
2140000,4,"Southern Metropolitan",3280,3.3
1750000,2,"Southern Metropolitan",3280,3.3
980000,2,"Southern Metropolitan",3280,3.3
2030000,3,"Southern Metropolitan",3280,3.3
1740000,3,"Southern Metropolitan",3280,3.3
2800000,3,"Southern Metropolitan",3280,3.3
985000,1,"Southern Metropolitan",3280,3.3
2e+06,4,NA,2211,6.4
1110000,3,NA,2211,6.4
1492000,3,NA,2211,6.4
1717500,4,NA,2211,6.4
2840000,5,NA,2211,6.4
525500,2,NA,2211,6.4
805000,2,NA,2211,6.4
465000,2,NA,2211,6.4
2e+06,3,NA,2211,6.4
1540000,3,NA,2211,6.4
820000,2,NA,2211,6.4
1830000,4,NA,2211,6.4
2100000,4,NA,2211,6.4
865000,3,NA,2211,6.4
390000,2,NA,2211,6.4
650000,2,NA,2211,6.4
512000,2,NA,2211,6.4
1165000,3,NA,2211,6.4
1900000,4,NA,2211,6.4
1485000,3,NA,2211,6.4
1950000,4,NA,2211,6.4
520000,3,"Western Metropolitan",5301,13.8
1525000,5,"Western Metropolitan",5301,13.8
720000,2,"Western Metropolitan",5301,13.8
1120000,3,"Western Metropolitan",5301,13.8
780000,4,"Western Metropolitan",5301,13.8
1780000,4,"Western Metropolitan",5301,13.8
630000,3,"Western Metropolitan",5301,13.8
406000,2,"Western Metropolitan",5301,13.8
660000,3,"Western Metropolitan",5301,13.8
683500,3,"Western Metropolitan",5301,13.8
580000,2,"Western Metropolitan",5301,13.8
1335000,3,"Western Metropolitan",5301,13.8
8e+05,3,"Western Metropolitan",5301,13.8
510000,2,"Western Metropolitan",5301,13.8
1070000,4,"Western Metropolitan",5301,13.8
425000,2,"Western Metropolitan",5301,13.8
605000,3,"Western Metropolitan",5301,13.8
705000,3,"Western Metropolitan",5301,13.8
391000,2,"Western Metropolitan",5301,13.8
440000,2,"Western Metropolitan",5301,13.8
845000,4,"Western Metropolitan",5301,13.8
743000,3,"Western Metropolitan",5301,13.8
730000,3,"Western Metropolitan",5301,13.8
635000,3,"Western Metropolitan",5301,13.8
620000,2,"Western Metropolitan",5301,13.8
447000,2,"Western Metropolitan",5301,13.8
730000,3,"Western Metropolitan",5301,13.8
678000,3,"Western Metropolitan",5301,13.8
580000,2,"Western Metropolitan",5301,13.8
712000,3,"Western Metropolitan",5301,13.8
840000,3,"Western Metropolitan",5301,13.8
980000,3,"Western Metropolitan",5301,13.8
605100,3,"Western Metropolitan",5301,13.8
880000,3,"Western Metropolitan",5301,13.8
577000,3,"Western Metropolitan",5301,13.8
1030000,4,"Western Metropolitan",5301,13.8
605000,3,"Western Metropolitan",5301,13.8
753000,3,"Western Metropolitan",5301,13.8
857000,2,"Western Metropolitan",5301,13.8
1500000,3,"Western Metropolitan",5301,13.8
730000,3,"Western Metropolitan",5301,13.8
9e+05,3,"Western Metropolitan",5301,13.8
740000,3,"Western Metropolitan",5301,13.8
931000,4,"Western Metropolitan",5301,13.8
535600,2,"Western Metropolitan",5301,13.8
1085000,5,"Western Metropolitan",5132,11.1
781000,3,"Western Metropolitan",5132,11.1
750000,3,"Western Metropolitan",5132,11.1
421000,2,"Western Metropolitan",5132,11.1
1405000,3,"Western Metropolitan",5132,11.1
683000,3,"Western Metropolitan",5132,11.1
623000,3,"Western Metropolitan",5132,11.1
720000,3,"Western Metropolitan",5132,11.1
588000,3,"Western Metropolitan",5132,11.1
710000,3,"Western Metropolitan",5132,11.1
875000,4,"Western Metropolitan",5132,11.1
7e+05,3,"Western Metropolitan",5132,11.1
640000,2,"Western Metropolitan",5132,11.1
650000,4,"Western Metropolitan",5132,11.1
675000,3,"Western Metropolitan",5132,11.1
708000,3,"Western Metropolitan",5132,11.1
965000,4,"Western Metropolitan",5132,11.1
680000,3,"Western Metropolitan",5132,11.1
770000,3,"Western Metropolitan",5132,11.1
923000,3,"Western Metropolitan",5132,11.1
693000,4,"Western Metropolitan",5132,11.1
620000,3,"Western Metropolitan",5132,11.1
728500,3,"Western Metropolitan",5132,11.1
931000,3,"Western Metropolitan",5132,11.1
988000,3,"Western Metropolitan",5132,11.1
590000,3,"Western Metropolitan",5132,11.1
610000,2,"Western Metropolitan",5132,11.1
815000,3,"Western Metropolitan",5132,11.1
970000,4,"Western Metropolitan",5132,11.1
760000,4,"Western Metropolitan",5132,11.1
847500,4,"Western Metropolitan",5132,11.1
1200000,4,"Western Metropolitan",5132,11.1
7e+05,3,"Western Metropolitan",5132,11.1
625000,3,"Western Metropolitan",5132,11.1
292000,2,"Western Metropolitan",5132,11.1
599000,2,"Southern Metropolitan",4836,6.3
550000,2,"Southern Metropolitan",4836,6.3
995000,3,"Southern Metropolitan",4836,6.3
1205000,3,"Southern Metropolitan",4836,6.3
1939000,3,"Southern Metropolitan",4836,6.3
421500,1,"Southern Metropolitan",4836,6.3
1870000,3,"Southern Metropolitan",4836,6.3
678000,2,"Southern Metropolitan",4836,6.3
1918000,3,"Southern Metropolitan",4836,6.3
660000,2,"Southern Metropolitan",4836,6.3
2050000,3,"Southern Metropolitan",4836,6.3
7e+05,2,"Southern Metropolitan",4836,6.3
3625000,2,"Southern Metropolitan",4836,6.3
3e+06,4,"Southern Metropolitan",4836,6.3
1525000,5,"Southern Metropolitan",4836,6.3
735000,3,"Southern Metropolitan",4836,6.3
825000,2,"Southern Metropolitan",4836,6.3
1586000,3,"Southern Metropolitan",4836,6.3
645000,2,"Southern Metropolitan",4836,6.3
1435000,1,"Southern Metropolitan",4836,6.3
280000,1,"Southern Metropolitan",4836,6.3
4e+05,1,"Southern Metropolitan",4836,6.3
1780000,2,"Southern Metropolitan",4836,6.3
592500,2,"Southern Metropolitan",4836,6.3
1210000,2,"Southern Metropolitan",4836,6.3
2801000,4,"Southern Metropolitan",4836,6.3
390000,1,"Southern Metropolitan",4836,6.3
1800000,3,"Southern Metropolitan",4836,6.3
2200000,4,"Southern Metropolitan",4836,6.3
324000,1,"Southern Metropolitan",4836,6.3
5525000,6,"Southern Metropolitan",4836,6.3
1125000,2,"Southern Metropolitan",4836,6.3
2250000,3,"Southern Metropolitan",4836,6.3
2360000,3,"Southern Metropolitan",4836,6.3
1900000,2,"Southern Metropolitan",4836,6.3
440000,1,"Southern Metropolitan",4836,6.3
490000,2,"Southern Metropolitan",4836,6.3
2365000,3,"Southern Metropolitan",4836,6.3
1300000,3,"Southern Metropolitan",4836,6.3
732000,3,"Southern Metropolitan",4836,6.3
704000,2,"Southern Metropolitan",4836,6.3
620000,2,"Southern Metropolitan",4836,6.3
1900000,3,"Southern Metropolitan",4836,6.3
315000,1,"Southern Metropolitan",4836,6.3
450000,1,"Southern Metropolitan",4836,6.3
710000,2,"Southern Metropolitan",4836,6.3
872000,2,"Southern Metropolitan",4836,6.3
598000,2,"Southern Metropolitan",4836,6.3
1285000,3,"Southern Metropolitan",4836,6.3
3660000,4,"Southern Metropolitan",4836,6.3
520000,2,"Southern Metropolitan",4836,6.3
3625000,4,"Southern Metropolitan",4836,6.3
4200000,4,"Southern Metropolitan",4836,6.3
1101000,3,"Southern Metropolitan",4836,6.3
3512500,3,"Southern Metropolitan",4836,6.3
2e+06,4,"Southern Metropolitan",4836,6.3
869000,3,"Southern Metropolitan",4836,6.3
2810000,5,"Southern Metropolitan",4836,6.3
565000,2,"Southern Metropolitan",4836,6.3
567000,1,"Southern Metropolitan",4836,6.3
546000,2,"Southern Metropolitan",4836,6.3
471500,2,"Southern Metropolitan",4836,6.3
455000,2,"Western Metropolitan",6567,5.9
940000,3,"Western Metropolitan",6567,5.9
467000,2,"Western Metropolitan",6567,5.9
1380000,3,"Western Metropolitan",6567,5.9
490000,2,"Western Metropolitan",6567,5.9
1850000,4,"Western Metropolitan",6567,5.9
1284000,3,"Western Metropolitan",6567,5.9
971000,3,"Western Metropolitan",6567,5.9
710000,2,"Western Metropolitan",6567,5.9
2425000,6,"Western Metropolitan",6567,5.9
750000,2,"Western Metropolitan",6567,5.9
1053000,2,"Western Metropolitan",6567,5.9
1377000,3,"Western Metropolitan",6567,5.9
970000,3,"Western Metropolitan",6567,5.9
940000,2,"Western Metropolitan",6567,5.9
751000,2,"Western Metropolitan",6567,5.9
950000,2,"Western Metropolitan",6567,5.9
685000,2,"Western Metropolitan",6567,5.9
1230000,3,"Western Metropolitan",6567,5.9
636500,2,"Western Metropolitan",6567,5.9
910000,3,"Western Metropolitan",6567,5.9
770000,2,"Western Metropolitan",6567,5.9
960000,3,"Western Metropolitan",6567,5.9
890000,4,"Western Metropolitan",6567,5.9
965000,2,"Western Metropolitan",6567,5.9
1440000,3,"Western Metropolitan",6567,5.9
955000,2,"Western Metropolitan",6567,5.9
450000,2,"Western Metropolitan",6567,5.9
801000,3,"Western Metropolitan",6567,5.9
1e+06,3,"Western Metropolitan",6567,5.9
1435000,3,"Western Metropolitan",6567,5.9
390000,1,"Western Metropolitan",6567,5.9
1425000,3,"Western Metropolitan",6567,5.9
1340000,4,"Western Metropolitan",6567,5.9
955000,3,"Western Metropolitan",6567,5.9
1100000,4,"Western Metropolitan",6567,5.9
1255000,3,"Western Metropolitan",6567,5.9
432000,2,"Western Metropolitan",6567,5.9
1640000,4,"Western Metropolitan",6567,5.9
1430000,6,"Western Metropolitan",6567,5.9
610000,2,"Western Metropolitan",6567,5.9
940000,3,"Western Metropolitan",6567,5.9
890000,3,"Western Metropolitan",6567,5.9
1180000,3,"Western Metropolitan",6567,5.9
1480000,4,"Western Metropolitan",6567,5.9
1150000,2,"Western Metropolitan",6567,5.9
1350000,3,"Western Metropolitan",6567,5.9
1905000,5,"Western Metropolitan",6567,5.9
865000,2,"Western Metropolitan",6567,5.9
705000,2,"Western Metropolitan",6567,5.9
442000,2,"Western Metropolitan",6567,5.9
540000,2,"Western Metropolitan",6567,5.9
1037500,3,"Western Metropolitan",6567,5.9
1050000,3,"Western Metropolitan",6567,5.9
440000,2,"Western Metropolitan",6567,5.9
1010000,2,"Western Metropolitan",6567,5.9
1430000,4,"Western Metropolitan",6567,5.9
570000,2,"Western Metropolitan",6567,5.9
690000,2,"Western Metropolitan",6567,5.9
1291000,3,"Western Metropolitan",6567,5.9
1130000,3,"Western Metropolitan",6567,5.9
1135000,3,"Western Metropolitan",6567,5.9
950000,4,"Western Metropolitan",6567,5.9
790000,3,"Western Metropolitan",6567,5.9
390000,2,"Western Metropolitan",6567,5.9
1345000,4,"Western Metropolitan",6567,5.9
1381500,3,"Western Metropolitan",6567,5.9
940000,3,"Western Metropolitan",6567,5.9
995000,3,"Western Metropolitan",6567,5.9
1050000,3,"Western Metropolitan",6567,5.9
786000,3,"Western Metropolitan",6567,5.9
705000,2,"Western Metropolitan",6567,5.9
760000,2,"Western Metropolitan",6567,5.9
487500,3,"Western Metropolitan",6567,5.9
1e+06,3,"Western Metropolitan",6567,5.9
1110000,4,"Western Metropolitan",6567,5.9
1300000,4,"Western Metropolitan",6567,5.9
1060000,3,"Western Metropolitan",6567,5.9
1410000,3,"Western Metropolitan",6567,5.9
1305000,3,"Western Metropolitan",6567,5.9
932500,3,"Western Metropolitan",6567,5.9
965000,3,"Western Metropolitan",6567,5.9
1215000,3,"Western Metropolitan",6567,5.9
545000,2,"Western Metropolitan",6567,5.9
1705000,4,"Western Metropolitan",6567,5.9
970000,3,"Western Metropolitan",6567,5.9
925000,2,"Western Metropolitan",6567,5.9
2650000,4,"Southern Metropolitan",3052,11
1670000,3,"Southern Metropolitan",3052,11
955000,3,"Southern Metropolitan",3052,11
2050000,3,"Southern Metropolitan",3052,11
5e+05,2,"Southern Metropolitan",3052,11
1575000,2,"Southern Metropolitan",3052,11
1555000,3,"Southern Metropolitan",3052,11
1100000,3,"Southern Metropolitan",3052,11
1337000,3,"Southern Metropolitan",3052,11
2950000,8,"Southern Metropolitan",3052,11
2215000,4,"Southern Metropolitan",3052,11
1518000,3,"Southern Metropolitan",3052,11
1710000,3,"Southern Metropolitan",3052,11
1655000,3,"Southern Metropolitan",3052,11
1550000,4,"Southern Metropolitan",3052,11
1662000,3,"Southern Metropolitan",3052,11
1665000,3,"Southern Metropolitan",3052,11
1445000,2,"Southern Metropolitan",3052,11
3510000,5,"Southern Metropolitan",3052,11
968000,3,"Southern Metropolitan",3052,11
9e+05,3,"Southern Metropolitan",3052,11
1500000,3,"Southern Metropolitan",3052,11
2752000,5,"Southern Metropolitan",3052,11
1500000,3,"Southern Metropolitan",3052,11
1800000,4,"Southern Metropolitan",3052,11
1830000,3,"Southern Metropolitan",3052,11
1415000,3,"Southern Metropolitan",3052,11
1440000,2,"Southern Metropolitan",3052,11
1250000,4,"Southern Metropolitan",3052,11
1422000,3,"Southern Metropolitan",3052,11
1600000,5,"Southern Metropolitan",3052,11
1860000,4,"Southern Metropolitan",3052,11
1710000,3,"Southern Metropolitan",3052,11
1790000,4,"Southern Metropolitan",3052,11
1950000,4,"Southern Metropolitan",3052,11
1600000,3,"Southern Metropolitan",3052,11
1320000,3,"Southern Metropolitan",3052,11
1650000,3,"Southern Metropolitan",3052,11
995000,2,"Southern Metropolitan",2894,12.2
1250000,3,"Southern Metropolitan",2894,12.2
1045000,3,"Southern Metropolitan",2894,12.2
1200000,4,"Southern Metropolitan",2894,12.2
1075000,2,"Southern Metropolitan",2894,12.2
1500000,4,"Southern Metropolitan",2894,12.2
1120000,3,"Southern Metropolitan",2894,12.2
7e+05,2,"Southern Metropolitan",2894,12.2
761000,3,"Southern Metropolitan",2894,12.2
1270000,4,"Southern Metropolitan",2894,12.2
1510000,4,"Southern Metropolitan",2894,12.2
1365000,3,"Southern Metropolitan",2894,12.2
1100000,4,"Southern Metropolitan",2894,12.2
1415000,4,"Southern Metropolitan",2894,12.2
690000,2,"Southern Metropolitan",2894,12.2
1631000,3,"Southern Metropolitan",2894,12.2
1500000,4,"Southern Metropolitan",2894,12.2
1060000,3,"Southern Metropolitan",2894,12.2
1529500,5,"Southern Metropolitan",2894,12.2
6e+05,2,"Southern Metropolitan",2894,12.2
535000,2,"Southern Metropolitan",2894,12.2
785000,3,"Southern Metropolitan",2894,12.2
1240000,4,"Southern Metropolitan",2894,12.2
7e+05,2,"Southern Metropolitan",2894,12.2
1350000,4,"Southern Metropolitan",2894,12.2
1110000,2,"Southern Metropolitan",2894,12.2
1305000,3,"Southern Metropolitan",2894,12.2
855000,3,"Southern Metropolitan",2894,12.2
900500,3,"Southern Metropolitan",2894,12.2
1200000,3,"Southern Metropolitan",2894,12.2
830000,3,"Southern Metropolitan",2894,12.2
850000,3,"Western Metropolitan",4502,10.5
750000,3,"Western Metropolitan",4502,10.5
851000,3,"Western Metropolitan",4502,10.5
848000,3,"Western Metropolitan",4502,10.5
806000,4,"Western Metropolitan",4502,10.5
1155000,4,"Western Metropolitan",4502,10.5
670000,3,"Western Metropolitan",4502,10.5
1200000,4,"Western Metropolitan",4502,10.5
636000,3,"Western Metropolitan",4502,10.5
680000,3,"Western Metropolitan",4502,10.5
1160000,4,"Western Metropolitan",4502,10.5
750000,3,"Western Metropolitan",4502,10.5
627500,3,"Western Metropolitan",4502,10.5
880000,3,"Western Metropolitan",4502,10.5
950000,4,"Western Metropolitan",4502,10.5
1600000,4,"Western Metropolitan",4502,10.5
585000,2,"Western Metropolitan",4502,10.5
650000,3,"Western Metropolitan",4502,10.5
725000,3,"Western Metropolitan",4502,10.5
665000,3,"Western Metropolitan",4502,10.5
560500,3,"Western Metropolitan",4502,10.5
615000,3,"Western Metropolitan",4502,10.5
845000,3,"Western Metropolitan",4502,10.5
585000,3,"Western Metropolitan",4502,10.5
440000,2,"Western Metropolitan",4502,10.5
850000,3,"Western Metropolitan",4502,10.5
850000,5,"Western Metropolitan",4502,10.5
705000,3,"Western Metropolitan",4502,10.5
1100000,4,"Western Metropolitan",4502,10.5
892500,3,"Western Metropolitan",4502,10.5
695000,3,"Western Metropolitan",4502,10.5
522500,2,"Western Metropolitan",4502,10.5
680000,4,"Western Metropolitan",4502,10.5
5e+05,3,"Western Metropolitan",4502,10.5
550000,2,"Western Metropolitan",4502,10.5
730000,3,"Western Metropolitan",4502,10.5
875000,3,"Western Metropolitan",4502,10.5
850000,3,"Western Metropolitan",4502,10.5
635000,3,"Western Metropolitan",4502,10.5
762000,4,"Western Metropolitan",4502,10.5
411000,2,"Western Metropolitan",4502,10.5
790000,4,"Western Metropolitan",4502,10.5
605000,4,"Western Metropolitan",4502,10.5
805000,3,"Western Metropolitan",4502,10.5
890000,4,"Western Metropolitan",4502,10.5
795000,3,"Western Metropolitan",4502,10.5
634000,3,"Western Metropolitan",4502,10.5
642000,3,"Western Metropolitan",4502,10.5
863000,3,"Western Metropolitan",4502,10.5
740000,3,"Western Metropolitan",4502,10.5
1819000,4,"Southern Metropolitan",2952,6.6
410000,2,"Southern Metropolitan",2952,6.6
280000,1,"Southern Metropolitan",2952,6.6
1015000,2,"Southern Metropolitan",2952,6.6
502500,2,"Southern Metropolitan",2952,6.6
520000,2,"Southern Metropolitan",2952,6.6
442000,2,"Southern Metropolitan",2952,6.6
1193000,3,"Southern Metropolitan",2952,6.6
416000,2,"Southern Metropolitan",2952,6.6
820000,2,"Southern Metropolitan",2952,6.6
474000,2,"Southern Metropolitan",2952,6.6
981000,2,"Southern Metropolitan",2952,6.6
1690000,3,"Southern Metropolitan",2952,6.6
540000,2,"Southern Metropolitan",2952,6.6
1080000,3,"Southern Metropolitan",2952,6.6
5e+05,1,"Southern Metropolitan",2952,6.6
497500,2,"Southern Metropolitan",2952,6.6
2100000,2,"Southern Metropolitan",5682,9.7
1800000,4,"Southern Metropolitan",5682,9.7
1255000,2,"Southern Metropolitan",5682,9.7
1070000,3,"Southern Metropolitan",5682,9.7
2570000,5,"Southern Metropolitan",5682,9.7
2400000,4,"Southern Metropolitan",5682,9.7
2200000,3,"Southern Metropolitan",5682,9.7
3250000,5,"Southern Metropolitan",5682,9.7
806000,2,"Southern Metropolitan",5682,9.7
4e+06,6,"Southern Metropolitan",5682,9.7
1215000,2,"Southern Metropolitan",5682,9.7
2250000,5,"Southern Metropolitan",5682,9.7
812000,2,"Southern Metropolitan",5682,9.7
1140000,3,"Southern Metropolitan",5682,9.7
2330000,3,"Southern Metropolitan",5682,9.7
2800000,5,"Southern Metropolitan",5682,9.7
605000,2,"Southern Metropolitan",5682,9.7
1255000,3,"Southern Metropolitan",5682,9.7
1850000,2,"Southern Metropolitan",5682,9.7
805000,2,"Southern Metropolitan",5682,9.7
7e+05,3,"Southern Metropolitan",5682,9.7
2130000,4,"Southern Metropolitan",5682,9.7
5e+05,2,"Southern Metropolitan",5682,9.7
2125000,3,"Southern Metropolitan",5682,9.7
1800000,4,"Southern Metropolitan",5682,9.7
635000,2,"Southern Metropolitan",5682,9.7
526000,2,"Southern Metropolitan",5682,9.7
390000,1,"Southern Metropolitan",5682,9.7
905000,3,"Southern Metropolitan",5682,9.7
1750000,4,"Southern Metropolitan",5682,9.7
760000,2,"Southern Metropolitan",5682,9.7
3180000,4,"Southern Metropolitan",5682,9.7
1367000,3,"Southern Metropolitan",5682,9.7
3600000,5,"Southern Metropolitan",5682,9.7
2550000,5,"Southern Metropolitan",5682,9.7
1400000,4,"Southern Metropolitan",5682,9.7
3270000,4,"Southern Metropolitan",5682,9.7
625000,2,"Southern Metropolitan",5682,9.7
7e+05,2,"Southern Metropolitan",5682,9.7
1860000,3,"Southern Metropolitan",5682,9.7
2730000,4,"Southern Metropolitan",5682,9.7
2020000,5,"Southern Metropolitan",5682,9.7
460000,2,"Southern Metropolitan",5682,9.7
2250000,4,"Southern Metropolitan",5682,9.7
1053000,2,"Southern Metropolitan",5682,9.7
1800000,3,"Southern Metropolitan",5682,9.7
1472000,3,"Southern Metropolitan",5682,9.7
2120000,3,"Southern Metropolitan",5682,9.7
1910000,3,"Southern Metropolitan",5682,9.7
754000,2,"Southern Metropolitan",5682,9.7
3e+06,5,"Southern Metropolitan",5682,9.7
3400000,5,"Southern Metropolitan",5682,9.7
2188000,4,"Southern Metropolitan",5682,9.7
755000,2,"Southern Metropolitan",5682,9.7
2900000,4,"Southern Metropolitan",5682,9.7
3290000,4,"Southern Metropolitan",5682,9.7
2665000,5,"Southern Metropolitan",5682,9.7
1801000,4,"Southern Metropolitan",5682,9.7
2410000,4,"Southern Metropolitan",5682,9.7
650000,2,"Southern Metropolitan",5682,9.7
2275000,4,"Southern Metropolitan",5682,9.7
2810000,5,"Southern Metropolitan",5682,9.7
1385000,3,"Southern Metropolitan",5682,9.7
2e+06,4,"Southern Metropolitan",5682,9.7
1900000,4,"Southern Metropolitan",5682,9.7
3401000,3,"Southern Metropolitan",5682,9.7
1750000,3,"Southern Metropolitan",5682,9.7
4e+06,5,"Southern Metropolitan",5682,9.7
1100000,3,"Southern Metropolitan",5682,9.7
3020000,5,"Southern Metropolitan",5682,9.7
2950000,3,"Southern Metropolitan",5682,9.7
2450000,5,"Southern Metropolitan",5682,9.7
1912000,3,"Southern Metropolitan",5682,9.7
730000,2,"Southern Metropolitan",5682,9.7
3900000,5,"Southern Metropolitan",5682,9.7
1500000,3,"Southern Metropolitan",5682,9.7
1850000,3,"Southern Metropolitan",5682,9.7
1700000,4,"Southern Metropolitan",5682,9.7
1010000,2,"Southern Metropolitan",5682,9.7
1315000,3,"Southern Metropolitan",7809,9.2
1500000,3,"Southern Metropolitan",7809,9.2
3230000,4,"Southern Metropolitan",7809,9.2
1080000,2,"Southern Metropolitan",7809,9.2
1350000,7,"Southern Metropolitan",7809,9.2
1905000,4,"Southern Metropolitan",7809,9.2
3300000,5,"Southern Metropolitan",7809,9.2
1900000,4,"Southern Metropolitan",7809,9.2
2251000,3,"Southern Metropolitan",7809,9.2
2205000,4,"Southern Metropolitan",7809,9.2
1265000,3,"Southern Metropolitan",7809,9.2
2e+06,3,"Southern Metropolitan",7809,9.2
1750000,4,"Southern Metropolitan",7809,9.2
1450000,3,"Southern Metropolitan",7809,9.2
2614000,4,"Southern Metropolitan",7809,9.2
1825000,4,"Southern Metropolitan",7809,9.2
2550000,4,"Southern Metropolitan",7809,9.2
1570000,4,"Southern Metropolitan",7809,9.2
3250000,5,"Southern Metropolitan",7809,9.2
1750000,4,"Southern Metropolitan",7809,9.2
1150000,3,"Southern Metropolitan",7809,9.2
1575000,3,"Southern Metropolitan",7809,9.2
1505000,6,"Southern Metropolitan",7809,9.2
1572000,4,"Southern Metropolitan",7809,9.2
1500000,4,"Southern Metropolitan",7809,9.2
1400000,4,"Southern Metropolitan",7809,9.2
1750000,5,"Southern Metropolitan",7809,9.2
1850000,4,"Southern Metropolitan",7809,9.2
1480000,3,"Southern Metropolitan",7809,9.2
1400000,4,"Southern Metropolitan",7809,9.2
2130000,4,"Southern Metropolitan",7809,9.2
1050000,3,"Southern Metropolitan",7809,9.2
3690000,5,"Southern Metropolitan",7809,9.2
1740000,4,"Southern Metropolitan",7809,9.2
2575000,4,"Southern Metropolitan",7809,9.2
1388800,4,"Southern Metropolitan",7809,9.2
1702000,4,"Southern Metropolitan",7809,9.2
1800000,4,"Southern Metropolitan",7809,9.2
2910000,4,"Southern Metropolitan",7809,9.2
